quadrosTotal,quadrosCalls,calls,quadrosSelfTime,selfTime,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
190,190,1,190,0.01,190,4.95,190,13500000
,,1,,0.01,,13.43,,10300000
,,4,,0.01,,41.40,,7000000
,,4,,0.00,,40.62,,5400000
,,3,,0.01,,27.25,,14400000
,,4,,0.01,,39.76,,11200000
,,3,,0.00,,39.12,,7600000
,,3,,0.00,,21.68,,7600000
,,2,,0.00,,44.73,,19700000
,,4,,0.01,,26.35,,18900000
200,200,3,200,0.01,200,28.99,200,13900000
,,2,,0.01,,25.39,,13100000
,,2,,0.01,,25.88,,9500000
,,5,,0.01,,64.13,,9100000
,,5,,0.01,,50.91,,5800000
,,4,,0.00,,42.41,,5800000
,,4,,0.00,,40.50,,5800000
,,3,,0.00,,33.91,,5900000
,,3,,0.00,,27.09,,6600000
,,2,,0.01,,18.38,,8300000.000000001
210,210,2,210,0.00,210,20.58,210,8300000.000000001
,,2,,0.01,,10.86,,5400000
,,1,,0.00,,24.18,,7700000
,,2,,0.01,,26.80,,4900000
,,3,,0.00,,22.51,,2500000
,,3,,0.00,,34.31,,4800000
,,2,,0.00,,9.56,,2300000
,,3,,0.00,,26.35,,2400000
,,2,,0.00,,17.52,,4700000
,,1,,0.00,,15.23,,4600000
220,220,2,220,0.00,220,9.18,220,2200000
,,1,,0.00,,13.81,,2200000
,,1,,0.00,,6.16,,2200000
,,2,,0.00,,20.32,,1900000
,,2,,0.00,,9.10,,2200000
,,1,,0.00,,14.91,,2200000
,,1,,0.00,,4.61,,2200000
,,1,,0.00,,4.18,,6600000
,,1,,0.01,,4.46,,4400000
,,1,,0.01,,3.92,,6600000
230,230,1,230,0.01,230,12.11,230,4300000
,,1,,0.01,,4.56,,4099999.9999999995
,,3,,0.00,,21.13,,2000000
,,2,,0.00,,22.51,,4099999.9999999995
,,3,,0.00,,23.00,,2000000
,,2,,0.00,,9.39,,2000000
,,2,,0.00,,18.06,,2000000
,,1,,0.00,,4.54,,1900000
,,2,,0.00,,17.23,,1700000
,,1,,0.00,,4.42,,3800000
240,240,1,240,0.00,240,4.46,240,2000000
,,1,,0.00,,13.07,,4000000
,,1,,0.00,,4.37,,2000000
,,1,,0.00,,9.28,,1900000
,,2,,0.00,,3.60,,2000000
,,1,,0.00,,14.05,,2000000
,,2,,0.00,,9.02,,1900000
,,1,,0.00,,13.37,,3800000
,,1,,0.00,,3.79,,1900000
,,1,,0.00,,3.92,,3600000
250,250,1,250,0.00,250,4.19,250,3600000
,,1,,0.00,,12.84,,3700000
,,2,,0.00,,9.24,,3700000
,,1,,0.00,,16.02,,2900000
,,2,,0.00,,9.99,,3700000
,,2,,0.00,,22.72,,1800000
,,2,,0.01,,7.94,,1800000
,,1,,0.00,,19.30,,1700000
,,2,,0.00,,10.19,,1700000
,,2,,0.00,,6.87,,1700000
260,260,1,260,0.00,260,3.93,260,1700000
,,1,,0.00,,3.62,,5000000
,,1,,0.00,,11.80,,1700000
,,1,,0.00,,3.80,,1700000
,,1,,0.00,,3.69,,1700000
,,1,,0.00,,3.60,,1700000
,,3,,0.00,,12.32,,1700000
,,1,,0.00,,4.35,,1600000
,,1,,0.00,,12.62,,1300000
,,1,,0.00,,3.89,,1600000
270,270,1,270,0.00,270,3.58,270,3000000
,,1,,0.00,,3.66,,1500000
,,1,,0.00,,12.16,,1500000
,,1,,0.00,,3.70,,1500000
,,1,,0.00,,3.23,,1400000
,,2,,0.00,,7.03,,2900000
,,1,,0.01,,3.69,,2800000
,,1,,0.00,,11.52,,4300000
,,1,,0.01,,3.44,,1400000
,,1,,0.00,,3.37,,1400000
280,280,2,280,0.00,280,21.38,280,1400000
,,2,,0.00,,6.87,,1400000
,,3,,0.00,,21.66,,1400000
,,1,,0.00,,3.19,,1300000
,,1,,0.00,,3.32,,1400000
,,1,,0.00,,3.45,,1400000
,,1,,0.00,,3.58,,2700000
,,2,,0.00,,3.36,,1300000
,,1,,0.00,,11.13,,1300000
,,1,,0.00,,3.33,,1300000
290,290,1,290,0.00,290,3.30,290,1300000
,,2,,0.00,,10.33,,1300000
,,1,,0.00,,3.70,,1300000
,,1,,0.00,,11.31,,1400000
,,1,,0.00,,3.65,,1400000
,,1,,0.00,,3.27,,2600000
,,1,,0.01,,3.32,,1300000
,,1,,0.00,,3.23,,1300000
,,1,,0.00,,11.30,,1300000
,,1,,0.00,,3.57,,1300000
300,300,2,300,0.00,300,9.18,300,1300000
END,END,1,END,0.00,END,3.75,END,2600000
,,1,,0.00,,12.14,,2600000
,,1,,0.00,,3.22,,2600000
,,1,,0.00,,3.18,,1300000
,,1,,0.00,,3.18,,2500000
,,2,,0.00,,22.87,,1300000
,,2,,0.00,,8.31,,1300000
,,2,,0.00,,7.60,,1300000
,,1,,0.00,,3.56,,1300000
,,2,,0.00,,6.56,,1300000
,,1,,0.00,,3.19,,3800000
,,1,,0.01,,3.33,,1300000
,,1,,0.00,,3.38,,1300000
,,1,,0.00,,11.94,,1300000
,,1,,0.00,,3.93,,1200000
,,3,,0.00,,9.55,,1200000
,,1,,0.00,,13.76,,1200000
,,1,,0.00,,4.05,,1200000
,,1,,0.01,,3.88,,END
,,1,,END,,3.36,,
,,1,,,,3.66,,
,,1,,,,4.38,,
,,1,,,,10.99,,
,,END,,,,END,,
