quadrosTotal,quadrosCalls,calls,quadrosSelfTime,selfTime,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,6,,0.02,,104.13,,23300000
,,6,,0.02,,85.83,,23000000
,,6,,0.02,,76.86,,20900000
,,6,,0.02,,80.84,,19300000
,,6,,0.02,,67.84,,17900000
,,6,,0.02,,64.23,,17300000
,,4,,0.01,,42.78,,11100000
,,5,,0.02,,67.08,,13300000
70,70,5,70,0.02,70,46.90,70,12400000
,,4,,0.01,,38.91,,9400000
,,3,,0.01,,32.91,,6900000
,,4,,0.01,,38.88,,8800000
,,4,,0.01,,45.41,,8700000
,,3,,0.01,,32.37,,6600000
,,2,,0.00,,18.05,,4400000
,,3,,0.01,,38.23,,6500000
,,3,,0.01,,19.86,,6200000
,,2,,0.00,,15.78,,4099999.9999999995
80,80,1,80,0.00,80,12.29,80,2000000
,,1,,0.00,,14.34,,2000000
,,3,,0.01,,26.00,,5800000
,,2,,0.00,,16.48,,3900000
,,2,,0.00,,17.52,,4000000
,,1,,0.00,,4.49,,2000000
,,1,,0.00,,12.02,,1900000
,,3,,0.01,,35.80,,5800000
,,4,,0.01,,31.96,,7600000
,,2,,0.00,,7.98,,3600000
90,90,1,90,0.00,90,12.08,90,1800000
,,1,,0.00,,4.24,,1800000
,,1,,0.00,,10.58,,1800000
,,3,,0.01,,32.83,,5600000
,,2,,0.00,,7.72,,3600000
,,1,,0.00,,11.09,,1800000
,,1,,0.00,,3.72,,1700000
,,1,,0.00,,11.88,,1700000
,,1,,0.00,,4.67,,1700000
,,2,,0.00,,16.53,,3400000
100,100,2,100,0.00,100,14.84,100,3300000
,,1,,0.00,,4.21,,1700000
,,1,,0.00,,10.11,,1700000
,,1,,0.00,,3.96,,1700000
,,1,,0.00,,10.19,,1700000
,,1,,0.00,,4.14,,1700000
,,3,,0.01,,30.34,,4700000
,,2,,0.00,,7.56,,3000000
,,1,,0.00,,10.68,,1500000
,,2,,0.00,,16.39,,2900000
110,110,1,110,0.00,110,4.33,110,1500000
,,1,,0.00,,3.31,,1400000
,,2,,0.00,,14.99,,2800000
,,1,,0.00,,14.36,,1400000
,,2,,0.00,,9.44,,2900000
,,1,,0.00,,11.15,,1400000
,,1,,0.00,,4.43,,1400000
,,1,,0.00,,4.11,,1400000
,,1,,0.00,,12.35,,1400000
,,1,,0.00,,4.08,,1400000
120,120,2,120,0.00,120,15.18,120,2700000
,,1,,0.00,,3.73,,1400000
,,1,,0.00,,11.03,,1300000
,,1,,0.00,,3.79,,1300000
,,1,,0.00,,12.60,,1300000
,,2,,0.00,,7.33,,2700000
,,1,,0.01,,13.19,,1300000
,,1,,0.00,,4.24,,1300000
,,2,,0.00,,15.96,,2800000
,,2,,0.00,,9.16,,2600000
130,130,1,130,0.00,130,10.61,130,1300000
,,1,,0.00,,3.60,,1300000
,,1,,0.00,,3.29,,1300000
,,1,,0.00,,10.81,,1300000
,,1,,0.00,,3.93,,1300000
,,2,,0.00,,17.00,,2600000
,,2,,0.00,,7.10,,2600000
,,1,,0.00,,10.08,,1300000
,,1,,0.00,,3.63,,1300000
,,1,,0.00,,10.75,,1300000
140,140,1,140,0.00,140,3.82,140,1200000
,,1,,0.00,,3.51,,1300000
,,1,,0.00,,10.71,,1300000
,,2,,0.00,,7.01,,2600000
,,1,,0.00,,10.51,,1300000
,,1,,0.00,,3.66,,1300000
,,1,,0.00,,3.09,,1300000
,,1,,0.00,,9.97,,1300000
,,1,,0.00,,3.32,,1300000
,,1,,0.00,,3.18,,1300000
150,150,1,150,0.00,150,11.32,150,1300000
,,3,,0.01,,21.24,,3700000
,,1,,0.00,,3.52,,1200000
,,1,,0.00,,3.34,,1200000
,,2,,0.00,,18.83,,2400000
,,2,,0.00,,13.90,,2400000
,,1,,0.00,,3.73,,1200000
,,2,,0.00,,16.33,,2400000
,,1,,0.00,,3.36,,1200000
,,1,,0.00,,3.27,,1200000
160,160,1,160,0.00,160,11.58,160,1200000
,,1,,0.00,,3.70,,1200000
,,1,,0.00,,3.06,,1200000
,,1,,0.00,,10.28,,1200000
,,1,,0.00,,3.31,,1200000
,,3,,0.01,,17.64,,3400000
,,1,,0.00,,3.43,,1200000
,,1,,0.00,,10.96,,1200000
,,1,,0.00,,3.47,,1200000
,,1,,0.00,,3.31,,1200000
170,170,1,170,0.00,170,10.64,170,1200000
,,1,,0.00,,3.65,,1200000
,,1,,0.00,,3.27,,1200000
,,3,,0.01,,20.62,,3600000
,,1,,0.00,,3.35,,1200000
,,1,,0.00,,3.30,,1200000
,,1,,0.01,,3.23,,1200000
,,1,,0.00,,11.15,,1200000
,,2,,0.00,,11.92,,2300000
,,3,,0.00,,9.79,,3500000
180,180,1,180,0.00,180,11.65,180,1200000
,,2,,0.00,,6.32,,2300000
,,1,,0.06,,12.00,,1200000
,,1,,0.00,,3.94,,1200000
,,1,,0.00,,3.37,,1200000
,,1,,0.00,,11.77,,1200000
,,2,,0.00,,7.13,,2300000
,,1,,0.00,,13.53,,1100000
,,1,,0.00,,3.20,,1100000
,,1,,0.00,,3.17,,1100000
190,190,1,190,0.00,190,3.78,190,1100000
,,1,,0.00,,11.51,,1200000
,,2,,0.00,,7.04,,2300000
,,2,,0.01,,14.57,,2200000
,,1,,0.00,,2.91,,1100000
,,1,,0.00,,9.51,,1100000
,,1,,0.00,,2.87,,1100000
,,1,,0.01,,2.90,,1000000
,,1,,0.00,,9.84,,1000000
,,1,,0.00,,3.01,,1000000
200,200,1,200,0.00,200,2.92,200,1000000
,,3,,0.00,,21.37,,3200000
,,2,,0.00,,13.87,,2100000
,,1,,0.00,,3.43,,1000000
,,1,,0.00,,2.75,,1000000
,,1,,0.00,,2.92,,1000000
,,1,,0.00,,11.82,,1000000
,,1,,0.00,,4.05,,1100000
,,2,,0.00,,17.52,,2200000
,,2,,0.01,,6.76,,2200000
210,210,1,210,0.00,210,11.41,210,1100000
,,1,,0.00,,3.82,,1100000
,,1,,0.00,,3.71,,1100000
,,1,,0.00,,11.35,,1100000
,,1,,0.00,,3.25,,1100000
,,1,,0.00,,3.20,,1100000
,,2,,0.00,,16.28,,2200000
,,1,,0.00,,3.19,,1100000
,,1,,0.00,,3.23,,1100000
,,1,,0.00,,10.22,,1100000
220,220,1,220,0.00,220,3.05,220,1100000
,,1,,0.00,,2.74,,1000000
,,1,,0.00,,10.28,,1100000
,,1,,0.00,,3.16,,1100000
,,2,,0.00,,18.05,,2100000
,,3,,0.01,,10.83,,3300000
,,1,,0.00,,10.51,,1100000
,,1,,0.00,,3.67,,1100000
,,1,,0.00,,3.48,,1100000
,,1,,0.00,,11.83,,1100000
230,230,1,230,0.00,230,3.43,230,1100000
,,2,,0.00,,15.77,,2200000
,,2,,0.00,,7.16,,2200000
,,1,,0.00,,3.09,,1100000
,,1,,0.00,,11.95,,1100000
,,1,,0.00,,3.31,,1100000
,,1,,0.00,,3.18,,1100000
,,1,,0.00,,11.25,,1000000
,,1,,0.00,,4.05,,1000000
,,2,,0.00,,7.62,,2100000
240,240,1,240,0.00,240,12.13,240,1000000
,,1,,0.00,,3.15,,1000000
,,1,,0.00,,3.05,,1000000
,,1,,0.00,,12.49,,1000000
,,1,,0.00,,3.05,,1000000
,,1,,0.00,,2.93,,1000000
,,1,,0.00,,3.06,,1000000
,,1,,0.00,,9.73,,1000000
,,3,,0.01,,17.56,,3100000
,,3,,0.01,,10.70,,3100000
250,250,1,250,0.00,250,11.77,250,1000000
,,1,,0.00,,4.40,,1100000
,,1,,0.00,,3.35,,1000000
,,1,,0.00,,3.34,,1000000
,,2,,0.00,,7.39,,2100000
,,2,,0.01,,16.44,,2100000
,,1,,0.00,,4.51,,1000000
,,1,,0.00,,3.47,,1000000
,,1,,0.00,,12.73,,1000000
,,1,,0.00,,3.32,,1000000
260,260,3,260,0.01,260,16.37,260,3100000
,,1,,0.00,,2.88,,1000000
,,1,,0.00,,2.84,,1000000
,,1,,0.00,,10.78,,1000000
,,1,,0.00,,2.87,,1000000
,,1,,0.00,,2.83,,1000000
,,1,,0.00,,2.97,,1000000
,,1,,0.00,,10.52,,900000
,,3,,0.01,,8.91,,2900000
,,1,,0.00,,10.37,,1000000
270,270,1,270,0.00,270,3.41,270,1000000
,,1,,0.00,,3.37,,1000000
,,1,,0.00,,3.57,,1000000
,,1,,0.00,,10.53,,1000000
,,1,,0.00,,3.46,,1000000
,,2,,0.00,,13.70,,1900000
,,2,,0.00,,5.91,,1900000
,,1,,0.00,,3.03,,1000000
,,1,,0.00,,10.45,,1000000
,,1,,0.00,,2.63,,1000000
280,280,1,280,0.01,280,3.15,280,1000000
,,1,,0.00,,2.99,,1000000
,,1,,0.00,,11.13,,1000000
,,2,,0.00,,9.01,,2000000
,,1,,0.00,,11.10,,1000000
,,1,,0.00,,2.86,,1000000
,,1,,0.00,,3.03,,1000000
,,1,,0.00,,2.99,,1000000
,,1,,0.00,,10.16,,1000000
,,1,,0.00,,2.97,,1000000
290,290,1,290,0.00,290,2.95,290,1000000
,,2,,0.00,,15.04,,1900000
,,1,,0.00,,3.15,,1000000
,,1,,0.00,,2.87,,1000000
,,1,,0.00,,12.96,,1000000
,,1,,0.00,,2.87,,1000000
,,2,,0.00,,6.43,,2000000
,,2,,0.00,,17.56,,1900000
,,3,,0.01,,18.02,,2800000
,,2,,0.01,,8.01,,1900000
300,300,1,300,0.00,300,3.07,300,900000
END,END,END,END,END,END,END,END,END
